Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Date,Quarter,Day_of_Year,Week_of_Year,Is_Quarter_End,Is_Year_End,Quarter_Sin,Quarter_Cos,Month_Sin,Month_Cos,Production_Units_Lag_1,Production_Units_Lag_2,Production_Units_Lag_3,Production_Units_Lag_4,Estimated_Deliveries_Lag_1,Estimated_Deliveries_Lag_2,Estimated_Deliveries_Lag_3,Estimated_Deliveries_Lag_4,Production_Units_RollingMean_3,Production_Units_RollingStd_3,Production_Units_RollingMin_3,Production_Units_RollingMax_3,Production_Units_RollingMean_6,Production_Units_RollingStd_6,Production_Units_RollingMin_6,Production_Units_RollingMax_6,Production_Units_RollingMean_12,Production_Units_RollingStd_12,Production_Units_RollingMin_12,Production_Units_RollingMax_12,Estimated_Deliveries_RollingMean_3,Estimated_Deliveries_RollingStd_3,Estimated_Deliveries_RollingMin_3,Estimated_Deliveries_RollingMax_3,Estimated_Deliveries_RollingMean_6,Estimated_Deliveries_RollingStd_6,Estimated_Deliveries_RollingMin_6,Estimated_Deliveries_RollingMax_6,Estimated_Deliveries_RollingMean_12,Estimated_Deliveries_RollingStd_12,Estimated_Deliveries_RollingMin_12,Estimated_Deliveries_RollingMax_12,Production_Units_Diff_1,Production_Units_PctChange_1,Production_Units_Diff_4,Production_Units_PctChange_4,Estimated_Deliveries_Diff_1,Estimated_Deliveries_PctChange_1,Estimated_Deliveries_Diff_4,Estimated_Deliveries_PctChange_4,Production_to_Delivery_Ratio,Inventory_Change,Revenue_Millions,Revenue_per_Vehicle,Range_per_kWh,CO2_per_Vehicle,Production_Units_Momentum,Production_Units_Acceleration,Estimated_Deliveries_Momentum,Estimated_Deliveries_Acceleration,Year_Quarter,Battery_Range_Product
2023,5,Europe,Model S,17646.0,17922.0,92874.27,120,704,1740.5623000000007,Interpolated (Month),12207,2023-05-01,2,121,18,0,0,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,17922.0,17922.0,17922.0,17922.0,17646.0,17646.0,17646.0,17646.0,17922.0,9728.375095564521,17922.0,17922.0,17922.0,9728.375095564521,17922.0,17922.0,17922.0,9728.375095564521,17922.0,17922.0,17646.0,9792.721812652497,17646.0,17646.0,17646.0,9792.721812652497,17646.0,17646.0,17646.0,9792.721812652497,17646.0,17646.0,-13758.0,-76.76598593906931,-4385.0,-24.46713536435665,-13849.0,-78.48237560920322,-5272.0,-29.87645925422192,1.015583385277951,276.0,1638.85936842,92874.27,5.818181818181818,0.09863219244064152,0,1.974432193684641,0,1.9999936270427827,20232,84480
2015,2,Asia,Model X,3797.0,4164.0,62205.65,75,438,249.46,Official (Quarter),7640,2015-02-01,1,32,5,0,0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,17922.0,17922.0,17922.0,17922.0,17646.0,17646.0,17646.0,17646.0,11043.0,9728.375095564521,4164.0,17922.0,11043.0,9728.375095564521,4164.0,17922.0,11043.0,9728.375095564521,4164.0,17922.0,10721.5,9792.721812652497,3797.0,17646.0,10721.5,9792.721812652497,3797.0,17646.0,10721.5,9792.721812652497,3797.0,17646.0,-13758.0,-76.76598593906931,-4385.0,-24.46713536435665,-13849.0,-78.48237560920322,-5272.0,-29.87645925422192,1.0963665086887835,367.0,236.19485305,62205.65,5.7631578947368425,0.06568193786203265,0,1.974432193684641,0,1.9999936270427827,20151,32850
2019,1,North America,Model X,8411.0,9189.0,117887.32,82,480,605.59,Interpolated (Month),14071,2019-01-01,1,1,1,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,4164.0,17922.0,17922.0,17922.0,3797.0,17646.0,17646.0,17646.0,10425.0,6961.782314896092,4164.0,17922.0,10425.0,6961.782314896092,4164.0,17922.0,10425.0,6961.782314896092,4164.0,17922.0,9951.333333333334,7051.8203560026495,3797.0,17646.0,9951.333333333334,7051.8203560026495,3797.0,17646.0,9951.333333333334,7051.8203560026495,3797.0,17646.0,5025.0,120.6772334293948,-4385.0,-24.46713536435665,4614.0,121.51698709507505,-5272.0,-29.87645925422192,1.0923680456490727,778.0,991.5502485200001,117887.32,5.783132530120482,0.07199120304327151,1,1.974432193684641,1,1.9999936270427827,20191,39360
2021,2,North America,Model 3,6555.0,7311.0,89294.91,120,712,700.07,Official (Quarter),9333,2021-02-01,1,32,5,0,0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,9189.0,4164.0,17922.0,17922.0,8411.0,3797.0,17646.0,17646.0,6888.0,2539.065379229137,4164.0,9189.0,9646.5,5893.656844438773,4164.0,17922.0,9646.5,5893.656844438773,4164.0,17922.0,6254.333333333333,2321.647977909946,3797.0,8411.0,9102.25,6002.989553825105,3797.0,17646.0,9102.25,6002.989553825105,3797.0,17646.0,-1878.0,-20.43747959516814,-4385.0,-24.46713536435665,-1856.0,-22.066341695398883,-5272.0,-29.87645925422192,1.1151616839536302,756.0,585.3281350500001,89294.91,5.884297520661157,0.1067830994508847,0,-1.4111471302456295,0,-1.4358332879047393,20211,85440
2016,12,Middle East,Model Y,12374.0,13537.0,114846.78,120,661,1226.88,Estimated (Region),8722,2016-12-01,4,336,48,0,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,7311.0,9189.0,4164.0,17922.0,6555.0,8411.0,3797.0,17646.0,10012.333333333334,3193.6150884747103,7311.0,13537.0,10424.6,5392.456889025632,4164.0,17922.0,10424.6,5392.456889025632,4164.0,17922.0,9113.333333333334,2972.397068585107,6555.0,12374.0,9756.6,5400.7205352619385,3797.0,17646.0,9756.6,5400.7205352619385,3797.0,17646.0,6226.0,85.15934892627548,-4385.0,-24.46713536435665,5819.0,88.77192982456141,-5272.0,-29.87645925422192,1.09389898989899,1163.0,1421.1140557200001,114846.78,5.462809917355372,0.09914181818181819,1,1.055968285214436,1,1.1083827151996029,20164,79320
2020,4,Asia,Model X,4656.0,5043.0,86930.57,82,477,333.14,Official (Quarter),5798,2020-04-01,2,92,14,0,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,13537.0,7311.0,9189.0,4164.0,12374.0,6555.0,8411.0,3797.0,8630.333333333334,4398.0097013687155,5043.0,13537.0,9527.666666666666,5299.982025126752,4164.0,17922.0,9527.666666666666,5299.982025126752,4164.0,17922.0,7861.666666666667,4021.4940424341466,4656.0,12374.0,8906.5,5260.251505394015,3797.0,17646.0,8906.5,5260.251505394015,3797.0,17646.0,-8494.0,-62.746546502179214,879.0,21.10951008645534,-7718.0,-62.37271698723129,859.0,22.6231235185673,1.0828859780974875,387.0,404.74873392,86930.57,5.746987951807229,0.07153532316942238,0,-1.479058954284547,0,-1.511446468117927,20202,39114
2015,11,Asia,Model 3,7717.0,7976.0,87588.21,82,475,549.84,Interpolated (Month),9961,2015-11-01,4,305,44,0,0,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,5043.0,13537.0,7311.0,9189.0,4656.0,12374.0,6555.0,8411.0,8852.0,4314.225422946743,5043.0,13537.0,7870.0,3343.7922184250633,4164.0,13537.0,9306.0,4873.61542731198,4164.0,17922.0,8249.0,3886.4056659077683,4656.0,12374.0,7251.666666666667,3064.5208217055188,3797.0,12374.0,8736.57142857143,4822.931503319769,3797.0,17646.0,2933.0,58.159825500694026,-1213.0,-13.200565894003702,3061.0,65.74312714776633,-694.0,-8.25109975032695,1.0334283493132936,259.0,675.91821657,87588.21,5.72289156626506,0.07124125421093548,1,1.2090637200287324,1,1.2811584413499761,20154,38950
2020,6,Europe,Cybertruck,8410.0,9192.0,73815.61,100,592,746.81,Official (Quarter),8216,2020-06-01,2,153,23,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,7976.0,5043.0,13537.0,7311.0,7717.0,4656.0,12374.0,6555.0,7403.666666666667,2132.8910739494722,5043.0,9192.0,8708.0,2817.960823006595,5043.0,13537.0,9291.75,4512.271133887489,4164.0,17922.0,6927.666666666667,1997.6021459072713,4656.0,8410.0,8020.5,2561.9065361562275,4656.0,12374.0,8695.75,4466.659466056741,3797.0,17646.0,1216.0,15.245737211634914,1881.0,25.72835453426343,693.0,8.980173642607237,1855.0,28.29900839054158,1.0928545951729878,782.0,620.7892801,73815.61,5.861386138613861,0.08878968018071572,1,-0.42914088289059116,1,-0.567629535051591,20202,59200
2022,4,Europe,Model S,15145.0,15760.0,69993.86,100,563,1279.0,Interpolated (Month),13264,2022-04-01,2,91,13,0,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,9192.0,7976.0,5043.0,13537.0,8410.0,7717.0,4656.0,12374.0,10976.0,4187.4402682307,7976.0,15760.0,9803.166666666666,4049.877006362869,5043.0,15760.0,10010.444444444445,4739.64263186348,4164.0,17922.0,10424.0,4103.1625607572505,7717.0,15145.0,9142.833333333334,3895.25462154487,4656.0,15145.0,9412.333333333334,4698.786119839889,3797.0,17646.0,6568.0,71.45343777197564,2223.0,16.421659156386205,6735.0,80.0832342449465,2771.0,22.393728786164544,1.040538756107223,615.0,1060.0570097,69993.86,5.574257425742574,0.08444473788458999,1,0.5620770056034072,1,0.7110306060233926,20222,56300
2021,3,Middle East,Model Y,7790.0,8208.0,50591.6,82,485,566.72,Interpolated (Month),3383,2021-03-01,1,60,9,0,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,15760.0,9192.0,7976.0,5043.0,15145.0,8410.0,7717.0,4656.0,11053.333333333334,4105.678669030655,8208.0,15760.0,9952.666666666666,3954.9229912435303,5043.0,15760.0,9830.2,4504.782934713823,4164.0,17922.0,10448.333333333334,4079.2288895492657,7790.0,15145.0,9348.666666666666,3761.492133006085,4656.0,15145.0,9250.1,4459.664871564529,3797.0,17646.0,-7552.0,-47.91878172588832,3165.0,62.760261748958946,-7355.0,-48.56388246946187,3134.0,67.3109965635739,1.0535232961108971,418.0,394.108564,50591.6,5.843373493975903,0.07274034141958671,0,-1.1937221949786396,0,-1.2864711671440836,20211,39770
